origin,destination,count
AL,AZ,1028
AL,AR,1009
AL,CA,2868
AL,CO,1243
AL,CT,139
AL,DE,89
AL,FL,13116
AL,GA,20484
AL,ID,80
AL,IL,2029
AL,IN,713
AL,IA,219
AL,KS,1704
AL,KY,1312
AL,LA,2178
AL,ME,446
AL,MD,1868
AL,MA,870
AL,MI,2126
AL,MN,265
AL,MS,5284
AL,MO,1419
AL,MT,80
AL,NE,260
AL,NV,1601
AL,NH,0
AL,NJ,1004
AL,NM,210
AL,NY,1202
AL,NC,4978
AL,ND,0
AL,OH,2564
AL,OK,1732
AL,OR,707
AL,PA,971
AL,RI,0
AL,SC,1837
AL,SD,267
AL,TN,6780
AL,TX,6086
AL,UT,695
AL,VT,0
AL,VA,4171
AL,WA,1845
AL,WV,282
AL,WI,432
AL,WY,459
AZ,AL,896
AZ,AR,2872
AZ,CA,37873
AZ,CO,12096
AZ,CT,977
AZ,DE,180
AZ,FL,4501
AZ,GA,4337
AZ,ID,2109
AZ,IL,4746
AZ,IN,4590
AZ,IA,1749
AZ,KS,2831
AZ,KY,294
AZ,LA,1469
AZ,ME,476
AZ,MD,2399
AZ,MA,824
AZ,MI,4058
AZ,MN,2382
AZ,MS,676
AZ,MO,2865
AZ,MT,1986
AZ,NE,2197
AZ,NV,6368
AZ,NH,1786
AZ,NJ,3066
AZ,NM,8688
AZ,NY,2541
AZ,NC,2987
AZ,ND,183
AZ,OH,3142
AZ,OK,3632
AZ,OR,3344
AZ,PA,2264
AZ,RI,139
AZ,SC,759
AZ,SD,1046
AZ,TN,1353
AZ,TX,16278
AZ,UT,9075
AZ,VT,200
AZ,VA,4286
AZ,WA,10009
AZ,WV,59
AZ,WI,1328
AZ,WY,724
AR,AL,341
AR,AZ,1289
AR,CA,4504
AR,CO,966
AR,CT,0
AR,DE,0
AR,FL,4368
AR,GA,2193
AR,ID,751
AR,IL,2131
AR,IN,935
AR,IA,3309
AR,KS,1873
AR,KY,879
AR,LA,3832
AR,ME,0
AR,MD,601
AR,MA,350
AR,MI,1329
AR,MN,784
AR,MS,2434
AR,MO,6799
AR,MT,1175
AR,NE,53
AR,NV,267
AR,NH,0
AR,NJ,263
AR,NM,498
AR,NY,146
AR,NC,1310
AR,ND,157
AR,OH,416
AR,OK,7784
AR,OR,452
AR,PA,308
AR,RI,233
AR,SC,860
AR,SD,22
AR,TN,5096
AR,TX,13341
AR,UT,450
AR,VT,0
AR,VA,1030
AR,WA,830
AR,WV,0
AR,WI,1373
AR,WY,557
CA,AL,4962
CA,AZ,51020
CA,AR,6451
CA,CO,28890
CA,CT,2970
CA,DE,1294
CA,FL,18241
CA,GA,14254
CA,ID,10492
CA,IL,20722
CA,IN,7951
CA,IA,3019
CA,KS,6118
CA,KY,3605
CA,LA,6616
CA,ME,2115
CA,MD,6281
CA,MA,13614
CA,MI,5387
CA,MN,5868
CA,MS,2691
CA,MO,8248
CA,MT,5689
CA,NE,4552
CA,NV,42732
CA,NH,1534
CA,NJ,4819
CA,NM,9326
CA,NY,18337
CA,NC,16493
CA,ND,990
CA,OH,6921
CA,OK,8167
CA,OR,33497
CA,PA,9368
CA,RI,1478
CA,SC,4143
CA,SD,1051
CA,TN,9008
CA,TX,73993
CA,UT,18607
CA,VT,1062
CA,VA,14469
CA,WA,41082
CA,WV,968
CA,WI,4618
CA,WY,1709
CO,AL,967
CO,AZ,9845
CO,AR,989
CO,CA,19002
CO,CT,1133
CO,DE,399
CO,FL,8511
CO,GA,2724
CO,ID,746
CO,IL,4755
CO,IN,2774
CO,IA,1448
CO,KS,6726
CO,KY,872
CO,LA,2276
CO,ME,1000
CO,MD,1221
CO,MA,1993
CO,MI,2039
CO,MN,2893
CO,MS,359
CO,MO,4457
CO,MT,2044
CO,NE,3639
CO,NV,1614
CO,NH,279
CO,NJ,624
CO,NM,6102
CO,NY,3782
CO,NC,6627
CO,ND,297
CO,OH,3169
CO,OK,3887
CO,OR,3050
CO,PA,1884
CO,RI,322
CO,SC,1044
CO,SD,2259
CO,TN,2240
CO,TX,17623
CO,UT,5400
CO,VT,723
CO,VA,3023
CO,WA,7610
CO,WV,545
CO,WI,2728
CO,WY,5140
CT,AL,430
CT,AZ,1205
CT,AR,0
CT,CA,4551
CT,CO,833
CT,DE,500
CT,FL,11058
CT,GA,2106
CT,ID,233
CT,IL,1404
CT,IN,967
CT,IA,565
CT,KS,372
CT,KY,290
CT,LA,577
CT,ME,2067
CT,MD,2259
CT,MA,11156
CT,MI,2119
CT,MN,819
CT,MS,104
CT,MO,134
CT,MT,127
CT,NE,0
CT,NV,514
CT,NH,2830
CT,NJ,3947
CT,NM,81
CT,NY,15404
CT,NC,4177
CT,ND,103
CT,OH,2645
CT,OK,400
CT,OR,49
CT,PA,5283
CT,RI,2630
CT,SC,1674
CT,SD,108
CT,TN,1000
CT,TX,3337
CT,UT,598
CT,VT,1041
CT,VA,4955
CT,WA,960
CT,WV,49
CT,WI,136
CT,WY,35
DE,AL,1628
DE,AZ,513
DE,AR,0
DE,CA,399
DE,CO,195
DE,CT,47
DE,FL,1680
DE,GA,438
DE,ID,0
DE,IL,218
DE,IN,0
DE,IA,171
DE,KS,0
DE,KY,250
DE,LA,571
DE,ME,0
DE,MD,6285
DE,MA,248
DE,MI,54
DE,MN,0
DE,MS,6
DE,MO,1000
DE,MT,0
DE,NE,43
DE,NV,72
DE,NH,72
DE,NJ,1482
DE,NM,76
DE,NY,800
DE,NC,2205
DE,ND,0
DE,OH,520
DE,OK,0
DE,OR,209
DE,PA,8293
DE,RI,66
DE,SC,528
DE,SD,0
DE,TN,188
DE,TX,740
DE,UT,0
DE,VT,0
DE,VA,1096
DE,WA,0
DE,WV,356
DE,WI,0
DE,WY,0
FL,AL,20118
FL,AZ,10266
FL,AR,3948
FL,CA,23036
FL,CO,10469
FL,CT,4573
FL,DE,2029
FL,GA,49921
FL,ID,1049
FL,IL,14444
FL,IN,9183
FL,IA,2487
FL,KS,3641
FL,KY,11028
FL,LA,5443
FL,ME,3273
FL,MD,8690
FL,MA,14665
FL,MI,14160
FL,MN,4053
FL,MS,4306
FL,MO,7140
FL,MT,392
FL,NE,2380
FL,NV,5117
FL,NH,4464
FL,NJ,9594
FL,NM,3544
FL,NY,33961
FL,NC,42729
FL,ND,534
