iata,name,latitude,longitude,population
AR,Arkansas,34.8955256,-92.4446262,2915918
NM,New Mexico,34.4346843,-106.1316181,2059179
MT,Montana,47.0511771,-109.6348174,989415
NY,New York,42.9133974,-75.5962723,19378102
ND,North Dakota,47.4421698,-100.4608163,672591
SD,South Dakota,44.4467957,-100.2381762,814180
UT,Utah,39.3349735,-111.6563633,2763885
OR,Oregon,43.9715225,-120.6226269,3831074
WA,Washington,47.4162296,-120.5996231,6724540
ID,Idaho,44.3020948,-114.5956254,1567582
OK,Oklahoma,35.5900512,-97.486815,3751351
NJ,New Jersey,40.1072744,-74.6652012,8791894
RI,Rhode Island,41.5974187,-71.5272723,1052567
LA,Louisiana,30.8577705,-91.803273,4533372
CT,Connecticut,41.5797842,-72.7466665,3574097
WV,West Virginia,38.6472854,-80.6183274,1852994
OH,Ohio,40.4149297,-82.7119975,11536504
KY,Kentucky,37.5336844,-85.2929801,4339367
GA,Georgia,32.629384,-83.4232125,9687653
MS,Mississippi,32.6864714,-89.6561377,2967297
MA,Massachusetts,42.1565196,-71.4895915,6547629
DE,Delaware,38.9976335,-75.4414957,897934
VT,Vermont,44.0605475,-72.673354,625741
PA,Pennsylvania,40.9024957,-77.8334514,12702379
MD,Maryland,38.9466584,-76.6744939,5773552
TN,Tennessee,35.8585639,-86.3493573,6346105
AL,Alabama,32.7396323,-86.8434593,4779736
VA,Virginia,37.5222512,-78.6681938,8001024
MO,Missouri,38.35075,-92.4567826,5988927
NH,New Hampshire,43.6726907,-71.5843145,1316470
ME,Maine,45.3906022,-68.6574869,1328361
SC,South Carolina,33.8741769,-80.8542699,4625364
IA,Iowa,42.0700243,-93.4933473,3046355
NC,North Carolina,35.53971,-79.1308636,9535483
KS,Kansas,38.4985464,-98.3834298,2853118
NE,Nebraska,41.5438105,-99.8123253,1826341
WY,Wyoming,42.9918024,-107.5419255,563626
CO,Colorado,38.9938777,-105.5083161,5029196
MN,Minnesota,46.3161343,-94.1994801,5303925
WI,Wisconsin,44.628484,-89.7119299,5686986
MI,Michigan,44.8410835,-85.6593197,9883640
IN,Indiana,39.9030256,-86.2839503,6483802
TX,Texas,31.4347032,-99.2818238,25145561
FL,Florida,28.4574302,-82.4091478,18801310
IL,Illinois,40.1028754,-89.1526108,12830632
AZ,Arizona,34.203924,-111.6064072,6392017
NV,Nevada,39.3310928,-116.6151469,2700551
CA,California,37.1551773,-119.5434183,37253956
